sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:﻿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
cN,2c,320,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919658,cN2c,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,2,2231,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919125,pN2,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,2b,680,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919474,cN2b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,3b,1340,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919018,pT3b,Meas Value,MAPS_TO,,TIM,1.72E+12,
pM,1a,469,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919220,pM1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,85,26,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,45880600,850,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,14,22,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45876965,14,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cN,3,2499,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919149,cN3,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,24,34,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163973,II:4,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,4 b,1,,,0.37,APPROVED,EQUAL,TIM,1.72E+12,35919491,cT4b,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1b1,39,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919145,cT1b1,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,is,567,,,1,FLAGGED,EQUAL,TIM,1.72E+12,4123025,is,Measurement,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,5,23,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,1,6650,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919829,pT1,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,4b,406,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919491,cT4b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,1,67,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,73,3,,,0.35,FLAGGED,EQUAL,TIM,1.72E+12,4131168,735 U,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,0mi,1,,,0.4,FLAGGED,EQUAL,TIM,1.72E+12,40217345,"Chronic care management services, each additional 20 minutes of clinical staff time directed by a physician or other qualified health care professional, per calendar month (list separately in addition to code for primary procedure). (do no... (Deprecated)",Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,52,13,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815261,52,Observation,MAPS_TO,,<auto>,1.72E+12,
cT,a,378,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pT,1mi,25,,,0.68,APPROVED,EQUAL,TIM,1.72E+12,35919492,pT1mi,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,2c,222,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919425,pN2c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,43,14,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37164015,IV:3,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,88,2,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35919759,88,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,40,333,,,1,FLAGGED,EQUAL,TIM,1.72E+12,1620337,40,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,3a,186,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919844,pN3a,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,Xb,1,,,0.61,APPROVED,EQUAL,TIM,1.72E+12,35919633,pNX,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,9,17,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,20,291,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36310794,20,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,c,28,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,64,1,,,0.46,FLAGGED,EQUAL,TIM,1.72E+12,35815290,642,Observation,MAPS_TO,,<auto>,1.72E+12,
cT,2a1,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919117,cT2a1,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,4d,23,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919766,pT4d,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,1,4402,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919098,pN1,Meas Value,MAPS_TO,,TIM,1.72E+12,
