sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RD/5352/74,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708791325,
MC/4319/46/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708791372,
AD/2870/1,sessions,1,,0.17,FLAGGED,EQUAL,vvcb,1704723933730,32608,mutations per megabase,Unit,MAPS_TO,,<auto>,1704708791497,
RD/2418/11,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/1302/1/909/1,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AG/1301/1/257/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/6142/15/413/14,hrs,1,,0.11,APPROVED,EQUAL,vvcb,1704710411856,8505,hour,Unit,MAPS_TO,,vvcb,1704710410638,
RD/1757/10,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708791887,
RD/5352/75,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708791919,
MC/4319/46/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708792028,
RD/3247/12,stones,1,,0.84,APPROVED,EQUAL,vvcb,1704723348335,9410,stone,Unit,MAPS_TO,,<auto>,1704708792059,
RD/621/4,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
RD/2418/22,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/1302/4/1344/7,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/184/2,inches,1,,0.57,APPROVED,EQUAL,vvcb,1704710434951,9326,inch (British),Unit,MAPS_TO,,vvcb,1704710434259,
RD/5352/76,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708792497,
MC/4375/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708792529,
MC/4320/46/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708792669,
AD/304/1,times,1,,1.00,FLAGGED,EQUAL,vvcb,1704723933730,8524,times,Unit,MAPS_TO,,<auto>,1704708792685,
RD/620/4,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
AG/1900/18/1210/7,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AD/1324/1,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/2001/5,iu/dL,1,,0.02,APPROVED,EQUAL,vvcb,1704715491472,9332,international unit per deciliter,Unit,MAPS_TO,,vvcb,1704715480379,
RD/5352/77,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708793075,
MC/4375/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708793169,
AD/304/2,times,1,,1.00,FLAGGED,EQUAL,vvcb,1704723933730,8524,times,Unit,MAPS_TO,,<auto>,1704708793294,
RD/5222/61,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/4320/46/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708793325,
MC/2418/77/696/43,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
